time,open,high,low,close,volume
2026-04-23 19:28:16.142040,1.084,1.08406,1.08381,1.084,601
2026-04-23 19:43:16.142040,1.084,1.08421,1.08408,1.08409,838
2026-04-23 19:58:16.142040,1.08409,1.08396,1.08334,1.08383,312
2026-04-23 20:13:16.142040,1.08383,1.08324,1.08299,1.08313,113
2026-04-23 20:28:16.142040,1.08313,1.08287,1.08176,1.08256,332
2026-04-23 20:43:16.142040,1.08256,1.08254,1.08223,1.08253,713
2026-04-23 20:58:16.142040,1.08253,1.08283,1.08238,1.08272,237
2026-04-23 21:13:16.142040,1.08272,1.08308,1.08259,1.08292,699
2026-04-23 21:28:16.142040,1.08292,1.08267,1.08181,1.08246,767
2026-04-23 21:43:16.142040,1.08246,1.08285,1.08271,1.08282,440
2026-04-23 21:58:16.142040,1.08282,1.08284,1.0827,1.08277,335
2026-04-23 22:13:16.142040,1.08277,1.08316,1.08296,1.08314,991
2026-04-23 22:28:16.142040,1.08314,1.08376,1.08285,1.08337,646
2026-04-23 22:43:16.142040,1.08337,1.08378,1.08289,1.08348,881
2026-04-23 22:58:16.142040,1.08348,1.08316,1.08309,1.08312,253
2026-04-23 23:13:16.142040,1.08312,1.08345,1.08286,1.08299,269
2026-04-23 23:28:16.142040,1.08299,1.0836,1.083,1.08335,892
2026-04-23 23:43:16.142040,1.08335,1.08354,1.08328,1.08345,214
2026-04-23 23:58:16.142040,1.08345,1.08437,1.08416,1.08417,292
2026-04-24 00:13:16.142040,1.08417,1.08346,1.08342,1.08343,409
2026-04-24 00:28:16.142040,1.08343,1.08357,1.08289,1.08345,133
2026-04-24 00:43:16.142040,1.08345,1.08409,1.08394,1.08395,657
2026-04-24 00:58:16.142040,1.08395,1.08402,1.08391,1.08397,765
2026-04-24 01:13:16.142040,1.08397,1.08436,1.08385,1.08426,114
2026-04-24 01:28:16.142040,1.08426,1.08506,1.0845,1.08461,180
2026-04-24 01:43:16.142040,1.08461,1.08463,1.08435,1.0844,841
2026-04-24 01:58:16.142040,1.0844,1.08398,1.08338,1.08378,954
2026-04-24 02:13:16.142040,1.08378,1.08378,1.08324,1.08352,343
2026-04-24 02:28:16.142040,1.08352,1.08353,1.08285,1.08297,859
2026-04-24 02:43:16.142040,1.08297,1.08268,1.08212,1.08242,444
2026-04-24 02:58:16.142040,1.08242,1.08315,1.0828,1.083,988
2026-04-24 03:13:16.142040,1.083,1.08319,1.08283,1.083,903
2026-04-24 03:28:16.142040,1.083,1.08244,1.08207,1.08238,468
2026-04-24 03:43:16.142040,1.08238,1.08265,1.08204,1.08243,659
2026-04-24 03:58:16.142040,1.08243,1.08288,1.08253,1.0827,555
2026-04-24 04:13:16.142040,1.0827,1.08263,1.08213,1.08222,193
2026-04-24 04:28:16.142040,1.08222,1.08309,1.08247,1.08248,225
2026-04-24 04:43:16.142040,1.08248,1.08226,1.08161,1.08196,769
2026-04-24 04:58:16.142040,1.08196,1.08239,1.0819,1.08227,554
2026-04-24 05:13:16.142040,1.08227,1.08311,1.0827,1.08292,227
2026-04-24 05:28:16.142040,1.08292,1.08343,1.08315,1.08333,906
2026-04-24 05:43:16.142040,1.08333,1.08294,1.08217,1.08271,586
2026-04-24 05:58:16.142040,1.08271,1.08288,1.08246,1.08258,952
2026-04-24 06:13:16.142040,1.08258,1.08313,1.08244,1.08296,302
2026-04-24 06:28:16.142040,1.08296,1.08351,1.083,1.08312,739
2026-04-24 06:43:16.142040,1.08312,1.08333,1.08285,1.08302,452
2026-04-24 06:58:16.142040,1.08302,1.08266,1.08222,1.08265,946
2026-04-24 07:13:16.142040,1.08265,1.08283,1.08226,1.08267,909
2026-04-24 07:28:16.142040,1.08267,1.0831,1.08232,1.08253,930
2026-04-24 07:43:16.142040,1.08253,1.08272,1.08266,1.0827,878
2026-04-24 07:58:16.142040,1.0827,1.08319,1.08255,1.08285,459
2026-04-24 08:13:16.142040,1.08285,1.08304,1.08254,1.08279,708
2026-04-24 08:28:16.142040,1.08279,1.08361,1.0829,1.08314,113
2026-04-24 08:43:16.142040,1.08314,1.08339,1.08294,1.08295,271
2026-04-24 08:58:16.142040,1.08295,1.08302,1.08214,1.08267,798
2026-04-24 09:13:16.142040,1.08267,1.08321,1.08235,1.08277,363
2026-04-24 09:28:16.142040,1.08277,1.08277,1.0823,1.08233,544
2026-04-24 09:43:16.142040,1.08233,1.08345,1.08274,1.08294,342
2026-04-24 09:58:16.142040,1.08294,1.08332,1.083,1.08331,233
2026-04-24 10:13:16.142040,1.08331,1.08352,1.08341,1.08348,270
2026-04-24 10:28:16.142040,1.08348,1.08324,1.08283,1.08294,702
2026-04-24 10:43:16.142040,1.08294,1.08342,1.08293,1.08341,732
2026-04-24 10:58:16.142040,1.08341,1.08358,1.08294,1.0833,224
2026-04-24 11:13:16.142040,1.0833,1.08351,1.08302,1.08317,318
2026-04-24 11:28:16.142040,1.08317,1.08405,1.08358,1.08382,323
2026-04-24 11:43:16.142040,1.08382,1.08451,1.08388,1.08409,950
2026-04-24 11:58:16.142040,1.08409,1.08476,1.08405,1.08423,507
2026-04-24 12:13:16.142040,1.08423,1.08453,1.08431,1.08449,651
2026-04-24 12:28:16.142040,1.08449,1.08521,1.08454,1.0848,396
2026-04-24 12:43:16.142040,1.0848,1.08509,1.08485,1.08488,504
2026-04-24 12:58:16.142040,1.08488,1.08459,1.08376,1.08416,315
2026-04-24 13:13:16.142040,1.08416,1.08488,1.08463,1.08468,883
2026-04-24 13:28:16.142040,1.08468,1.08488,1.0848,1.08483,265
2026-04-24 13:43:16.142040,1.08483,1.08557,1.0852,1.08543,542
2026-04-24 13:58:16.142040,1.08543,1.08631,1.08516,1.08559,434
2026-04-24 14:13:16.142040,1.08559,1.0857,1.08546,1.08567,253
2026-04-24 14:28:16.142040,1.08567,1.08671,1.0857,1.08589,886
2026-04-24 14:43:16.142040,1.08589,1.08632,1.08566,1.08603,273
2026-04-24 14:58:16.142040,1.08603,1.08673,1.08611,1.08622,548
2026-04-24 15:13:16.142040,1.08622,1.08615,1.08577,1.08613,355
2026-04-24 15:28:16.142040,1.08613,1.08652,1.08597,1.08623,205
2026-04-24 15:43:16.142040,1.08623,1.08656,1.086,1.08644,400
2026-04-24 15:58:16.142040,1.08644,1.08695,1.08674,1.0869,205
2026-04-24 16:13:16.142040,1.0869,1.08733,1.08679,1.08724,194
2026-04-24 16:28:16.142040,1.08724,1.08744,1.08673,1.08712,256
2026-04-24 16:43:16.142040,1.08712,1.08717,1.08693,1.08701,871
2026-04-24 16:58:16.142040,1.08701,1.08761,1.08696,1.08711,586
2026-04-24 17:13:16.142040,1.08711,1.08806,1.08773,1.0878,258
2026-04-24 17:28:16.142040,1.0878,1.0882,1.08771,1.08774,947
2026-04-24 17:43:16.142040,1.08774,1.08776,1.0876,1.08769,791
2026-04-24 17:58:16.142040,1.08769,1.08787,1.08728,1.08764,869
2026-04-24 18:13:16.142040,1.08764,1.08754,1.08716,1.08741,327
2026-04-24 18:28:16.142040,1.08741,1.08735,1.08697,1.08708,867
2026-04-24 18:43:16.142040,1.08708,1.08748,1.08716,1.08716,998
2026-04-24 18:58:16.142040,1.08716,1.08726,1.08679,1.08682,621
2026-04-24 19:13:16.142040,1.08682,1.08725,1.08691,1.08703,544
2026-04-24 19:28:16.142040,1.08703,1.08662,1.08611,1.08625,813
2026-04-24 19:43:16.142040,1.08625,1.08557,1.08549,1.08555,633
2026-04-24 19:58:16.142040,1.08555,1.08603,1.08545,1.08576,971
